zswdiagnostic.esm
PlanetName,BIOM_FormID,BIOM_EditorID,ResourceID
diagnostic22,0014C016,DesertSandyNoLife10,00
diagnostic22,0017B85B,ForestConiferousLife07,00
diagnostic22,000F1F16,ArchipelagoLife07,00
diagnostic22,001160EB,HillsNoLife03,00
diagnostic23,00212132,HillsLife06,00
diagnostic23,001160D6,HillsNoLife25,00
diagnostic23,000D3A1E,MountainsNoLife05,00
diagnostic23,0011BCD3,CanyonsNoLife10,00
diagnostic23,0007FFFE,VolcanicWornNoLife05,00
diagnostic23,001160EC,ForestConiferousLife35,00
diagnostic24,001DFE02,VolcanicWornNoLife09,00
diagnostic24,001217BD,ForestTropicalLife23,00
diagnostic24,0018E65A,ForestTropicalLife20,00
diagnostic24,0018A89D,SavannaLife09,00
diagnostic24,001886D2,HillsLife17,00
diagnostic24,0019E808,DesertSandyNoLife05,00
diagnostic25,000FD014,ArchipelagoNoLife03,00
diagnostic25,0010EC57,HillsLife10,00
diagnostic25,001217BC,ForestTropicalLife24,00
diagnostic25,001160E7,HillsNoLife21,00
diagnostic25,001160D9,HillsNoLife08,00
diagnostic25,000C5717,CrateredNoLife11,00
diagnostic26,000A86DA,MountainsLife05,00
diagnostic26,001160EB,HillsNoLife03,00
diagnostic26,000E37DA,DesertRockyLife08,00
diagnostic26,0018F249,ForestTropicalLife19,00
diagnostic26,0011F983,ForestDeciduousLife10,00
diagnostic26,00211C5F,ForestTropicalLife04,00
diagnostic27,0008DFFC,VolcanicRoughLife07,00
diagnostic27,001DFDFE,VolcanicWornLife09,00
diagnostic27,0014C1C3,DesertSandyLife09,00
diagnostic27,00285AFA,FrozenLifeExtreme,00
diagnostic27,00336CC7,DesertSandyNoLife11,00
diagnostic27,000F1F15,ArchipelagoLife08,00
diagnostic28,0007D721,OceanLife09,00
diagnostic28,00203E9F,ForestConiferousLife13,00
diagnostic28,00263FE4,VolcanicWornLife03,00
diagnostic28,002ACD5B,DesertSandyLife01,00
diagnostic28,000FD6F7,FrozenLife03,00
diagnostic28,001160D6,HillsNoLife25,00
diagnostic29,000FC61F,FrozenNoLife02,00
diagnostic29,000E37D9,DesertRockyLife09,00
diagnostic29,00285AFC,HillsLifeExtreme,00
diagnostic29,000FD6F7,FrozenLife03,00
diagnostic29,0011BCD3,CanyonsNoLife10,00
diagnostic29,0034980C,HillsLife15,00
diagnostic30,0018A8A0,SavannaLife05,00
diagnostic30,00190B98,ForestTropicalLife09,00
diagnostic30,003E3ADF,SavannaLife18,00
diagnostic30,001A5410,DesertRockyNoLife04,00
diagnostic30,00263FE4,VolcanicWornLife03,00
diagnostic30,0011F980,ForestDeciduousLife13,00
diagnostic31,00214968,CanyonsLife02,00
diagnostic31,000D9BB0,MountainsLife07,00
diagnostic31,00215098,HillsLife02,00
diagnostic31,0008DFFC,VolcanicRoughLife07,00
diagnostic31,002B6352,SavannaLife03,00
diagnostic31,003E5E43,WetlandsLife11,00
diagnostic32,002ACD5B,DesertSandyLife01,00
diagnostic32,001160F4,ForestConiferousLife27,00
diagnostic32,001160D8,HillsNoLife09,00
diagnostic32,0011F984,ForestDeciduousLife09,00
diagnostic32,001A540B,DesertRockyNoLife03,00
diagnostic32,001217BB,ForestTropicalLife25,00
